name,stars,text,timeSince,openStatus,key
Joe Lebano,5.0,"Not much to say, stopped by for take-out. The pizza was great and the eggplant was even better.",2 weeks ago,Open,Anthony's Coal Fired Pizza 50 East Wynnewood Road WYNNEWOOD PA 19096 (610) 645-5453
Abdulmajeed Alqassem,4.0,"I made my order for pick up, but noting ready for that!  Every thing is terrific.

I wish they fix that to stay the best.",7 months ago,Open,Anthony's Coal Fired Pizza 50 East Wynnewood Road WYNNEWOOD PA 19096 (610) 645-5453
Kristen Glenn,5.0,Their pizza and sandwiches are very good and the staff always do a nice job at keeping the place clean. I do wish their menu was a bit larger though like Ardmore Pizza.,5 days ago,Open,Anthony's Coal Fired Pizza 50 East Wynnewood Road WYNNEWOOD PA 19096 (610) 645-5453
Corey Simpson,5.0,Absolutely fantastic establishment. Will definitely be back when I'm back in the area. The food was delicious even the picky eaters in my family were satisfied. The wait staff was super attentive and kind especially for the amount of people that were there. Even the management made us feel welcome and I can't remember the last time I got that level of attention at a restaurant. Can't wait to come back!,7 months ago,Open,Anthony's Coal Fired Pizza 50 East Wynnewood Road WYNNEWOOD PA 19096 (610) 645-5453
Drew Cannon,5.0,"Great food.  Great atmosphere.   Pizza is thin crust and delicious.   Also I would definitely recommend the cheese cake if you normally like, you will LOVE theirs.",9 months ago,Open,Anthony's Coal Fired Pizza 50 East Wynnewood Road WYNNEWOOD PA 19096 (610) 645-5453
wild rocco,5.0,By far one of the best sandwiches I've ever tasted Crispy Arugula Chunky Fresh Tuna and the bread OMG the fckning bread 💯💯😋 😋,2 months ago,Open,Anthony's Coal Fired Pizza 50 East Wynnewood Road WYNNEWOOD PA 19096 (610) 645-5453
Ghandric,5.0,"On-point pizza establishment with genuine flavor.  At times they can get busy so if you're doing takeout, call ahead.  The staff are friendly and I appreciate the perfection they execute with each pizza we've received so far.  I'd definitely recommend this location.  Though remember, call ahead as they can get busy.",9 months ago,Open,Anthony's Coal Fired Pizza 50 East Wynnewood Road WYNNEWOOD PA 19096 (610) 645-5453
Milton White III,1.0,"I am pleased with the food. Well seasoned, cooked well. I have visited the Wynnewood location for just about 1  year after meeting at one of your former bartenders at ""not your average Joe's"" who recommended your store. Since then, there has been a constant change of managers and staff. Most were very accommodating, professional and friendly. Recently, I have feel that my business is not
appreciated, by the bar staff. As often as I have frequented, and tipped no less than 20%, many times more, they have no greeting or conversation for me. Yet, a few times that I visited, they've given more attention to others that they obviously have given more time to get to know them. Yet, I have been there with no one else there around and have not been given any attention other than placing my order. The owners are in town this week, and I'm sure that this particular person will one be ""on"" for ""show"" but I am now no longer a fan of this establishment. Enjoy your food and serve!",7 months ago,Open,Anthony's Coal Fired Pizza 50 East Wynnewood Road WYNNEWOOD PA 19096 (610) 645-5453
Isiforos Gerwazy,5.0,I constantly come by purchasing some food here. I love the quick service and well prepared food. Highly recommended.,4 months ago,Open,Anthony's Coal Fired Pizza 50 East Wynnewood Road WYNNEWOOD PA 19096 (610) 645-5453
Frank Lang,5.0,"I ordered 2 pizzas on Thursday May 14th , they were very good  , Tyler and his staff were very helpful and pleasant  even though they were extremely busy  , I greatly appreciate you being open and working during these difficult times  , well done  ! Be safe and thank you  !",4 months ago,Open,Anthony's Coal Fired Pizza 50 East Wynnewood Road WYNNEWOOD PA 19096 (610) 645-5453
Alejandro Horn,3.0,"It's not what it used to be. The pizza is not as good. It used to be thin and we'll done. I noticed that there where new employees at the furnace. Even the wings. One that I had was under cooked.
The service was very good, but the bottom line is on the food. We used to frequent your establishment quite often, but stopped going cause the food wasn't as good as before.",7 months ago,Open,Anthony's Coal Fired Pizza 50 East Wynnewood Road WYNNEWOOD PA 19096 (610) 645-5453
