name,stars,text,timeSince,openStatus,key
Frank Gaubeca,5.0,Great pizza. They helped a lot during coronavirus offering free cheese pizza.,2 weeks ago,Open,Anthony's Coal Fired Pizza 1901 S Dale Mabry Hwy TAMPA FL 33629-5816 (813) 258-2625
Bee Dee,5.0,"my friends and I thoroughly enjoyed our meal, the pizza was delicious.  Definitely good service.  Will return",5 days ago,Open,Anthony's Coal Fired Pizza 1901 S Dale Mabry Hwy TAMPA FL 33629-5816 (813) 258-2625
Pedro Venegas,5.0,Popular for a reason 👍,a month ago,Open,Anthony's Coal Fired Pizza 1901 S Dale Mabry Hwy TAMPA FL 33629-5816 (813) 258-2625
Chris Powell,5.0,"Some friends brought me here, cannot tell you in words how good this place is. Jeremy took extremely good care of us, and when we cone back to Tampa, i will def be back. Keep up the good work guys!!!",2 months ago,Open,Anthony's Coal Fired Pizza 1901 S Dale Mabry Hwy TAMPA FL 33629-5816 (813) 258-2625
Ronald Holt Jr,5.0,"Had a great experience. We were greeted with a smile. The staff was great and friendly. They brought the food right out.The ordering  process was quick. The food was out in no time at all. The pizza we had was excellent. It had a good balance  of sauce, cheese and topping. The dough had a nice crunch and chewiness. We loved our food. I would recommend people to go to this store. The staff made the experience worth the trip. We will be back next time we are in town.",4 months ago,Open,Anthony's Coal Fired Pizza 1901 S Dale Mabry Hwy TAMPA FL 33629-5816 (813) 258-2625
A E,5.0,1st time having their pizza and I was very impressed. Great hot.chessy pizza,6 days ago,Open,Anthony's Coal Fired Pizza 1901 S Dale Mabry Hwy TAMPA FL 33629-5816 (813) 258-2625
Tavis Malmstrom,1.0,"To be honest, I've never order a thing here I didn't LOVE. Until last night. I'm all about the meatballs, wings, and four corners, so I thought I'd try a meatball pizza. Epic fail. What sauce? What ricotta? And the meatballs? Please. This was the worst pizza I've ever had.",6 months ago,Open,Anthony's Coal Fired Pizza 1901 S Dale Mabry Hwy TAMPA FL 33629-5816 (813) 258-2625
Michael M,4.0,I enjoyed my meal and would come again.  I had 2 meatballs and a 12 inch pepperoni pizza.  The meatballs came with a couple pieces of bread and a little ricotta.  Standard meatball.  The pizza was good.  A thin crust and a lot of pepperoni.,3 weeks ago,Open,Anthony's Coal Fired Pizza 1901 S Dale Mabry Hwy TAMPA FL 33629-5816 (813) 258-2625
Sandra Bowman,5.0,"We ordered the meatballs as an appetizer, the presentation was perfect, they we're so tender and tasty. The wood fired pizza is really good! The wings are seasoned nicely and not soaking wet like a typical buffalo style sauce. The atmosphere is nice and the place is clean. Our server Ashley was really friendly and super helpful. They offer a very rare 50% off Military discount, except for your drink's.",a year ago,Open,Anthony's Coal Fired Pizza 1901 S Dale Mabry Hwy TAMPA FL 33629-5816 (813) 258-2625
Kenneth Reader,5.0,"I love this pizza pub a lot. The pizza that they serve was so delicious and satisfying. I like New york American style pizza. It was to die for,  and the cheese toppings were perfectly melted. The staff was so accommodating she made sure that I had everything that I needed on my table. What a nice pizza pub!",2 weeks ago,Open,Anthony's Coal Fired Pizza 1901 S Dale Mabry Hwy TAMPA FL 33629-5816 (813) 258-2625
Leinad Suarez,5.0,"Great service. Everybody is very attentive and friendly, I'll recommend this place any day",a month ago,Open,Anthony's Coal Fired Pizza 1901 S Dale Mabry Hwy TAMPA FL 33629-5816 (813) 258-2625
Linda Morris,4.0,Their wings and pizza are delicious.  Clean interior also. Staff was very courteous and efficient.,2 months ago,Open,Anthony's Coal Fired Pizza 1901 S Dale Mabry Hwy TAMPA FL 33629-5816 (813) 258-2625
Kenya Whitfield,5.0,"Very nice service, meal was awesome.. I will say the restroom could use more attention but, a overall fantastic place to dine.",6 months ago,Open,Anthony's Coal Fired Pizza 1901 S Dale Mabry Hwy TAMPA FL 33629-5816 (813) 258-2625
