Company Name,Address 1,City,State,Zip,Phone,Google Link
The Pizza Ranch,104 W Erie St,MISSOURI VALLEY,IA,51555-1535,7126425050.0,"https://www.google.com/maps/place/Pizza+Ranch/@41.5558763,-95.8949535,17z/data=!3m1!4b1!4m5!3m4!1s0x8793a4cc40164c87:0x8c994e30d1e6a135!8m2!3d41.5558763!4d-95.8949535"
The Pizza Ranch,1110 3rd Ave N,WAHPETON,ND,58075-4104,7016727492.0,"https://www.google.com/maps/place/Pizza+Ranch/@46.2663965,-96.616728,17z/data=!3m1!4b1!4m5!3m4!1s0x52c94922c9c093e1:0x5c3eba716b832f2f!8m2!3d46.2663965!4d-96.616728"
The Pizza Ranch,1010 6th Ave SE,ABERDEEN,SD,57401-6321,6057252525.0,"https://www.google.com/maps/place/Pizza+Ranch/@45.4588334,-98.4727213,17z/data=!3m1!4b1!4m5!3m4!1s0x52d244e9a08d48a9:0x86d71ba06dd1d995!8m2!3d45.4588334!4d-98.4727213"
The Pizza Ranch,634 Main St,ACKLEY,IA,50601-1438,6418472244.0,"https://www.google.com/maps/place/Pizza+Ranch/@42.5539496,-93.0536879,17z/data=!3m1!4b1!4m5!3m4!1s0x87f02babe7a84ddb:0xa7562700764f89b4!8m2!3d42.5539496!4d-93.0536879"
The Pizza Ranch,706 Washington Ave,IOWA FALLS,IA,50126-2115,6416483322.0,"https://www.google.com/maps/place/Pizza+Ranch/@42.5199146,-93.2658133,17z/data=!3m1!4b1!4m5!3m4!1s0x87f1d81978fec01f:0x7fd92c2dff6d4ec2!8m2!3d42.5199146!4d-93.2658133"
The Pizza Ranch,1580 2nd Ave NW,STEWARTVILLE,MN,55976-1606,5075330117.0,"https://www.google.com/maps/place/Pizza+Ranch/@43.8675987,-92.489267,17z/data=!3m1!4b1!4m5!3m4!1s0x87f7564533a8f601:0x84f740738bc6192c!8m2!3d43.8675987!4d-92.489267"
The Pizza Ranch,1131 East Frontage Road,LAKE DELTON,WI,53940,6082548200.0,"https://www.google.com/maps/place/Pizza+Ranch/@43.5761705,-89.7754548,17z/data=!3m1!4b1!4m5!3m4!1s0x880745ca87ccbf1d:0xf65eb9bbe25f6b7d!8m2!3d43.5761705!4d-89.7754548"
The Pizza Ranch,11 Central Ave SW,LE MARS,IA,51031-3520,7125467272.0,"https://www.google.com/maps/place/Pizza+Ranch/@42.7928944,-96.1668525,17z/data=!3m1!4b1!4m5!3m4!1s0x878dc416f87b7109:0xeffc34f06cf53381!8m2!3d42.7928944!4d-96.1668525"
The Pizza Ranch,204 1st St,SERGEANT BLUFF,IA,51054-8588,7129437499.0,"https://www.google.com/maps/place/Pizza+Ranch/@42.3992598,-96.3617679,17z/data=!3m1!4b1!4m5!3m4!1s0x878dff094bb15b93:0x5329caf26168bfb4!8m2!3d42.3992598!4d-96.3617679"
The Pizza Ranch,944 Center Ave,OOSTBURG,WI,53070-1354,9205646333.0,"https://www.google.com/maps/place/Pizza+Ranch/@43.6233141,-87.7986009,17z/data=!3m1!4b1!4m5!3m4!1s0x8804a336ff02b9a1:0x594c45b7f8ce3671!8m2!3d43.6233141!4d-87.7986009"
The Pizza Ranch,1235 W Johnson St,FOND DU LAC,WI,54935,9209298800.0,"https://www.google.com/maps/place/Pizza+Ranch/@43.7851524,-88.4909432,17z/data=!3m1!4b1!4m5!3m4!1s0x8803f55982b9a37d:0xf3f4a752c8daf0fc!8m2!3d43.7851524!4d-88.4909432"
The Pizza Ranch,3000 W 18th Ave,EMPORIA,KS,66801-6191,6203438646.0,"https://www.google.com/maps/place/Pizza+Ranch/@38.4222282,-96.22107,17z/data=!3m1!4b1!4m5!3m4!1s0x87b94dee9c4ac24d:0xd652ed6b325b922f!8m2!3d38.4222282!4d-96.22107"
